Date,Pick,Spread,Model Spread,Advantage,Final,Spread Result,Pick Result
11/28/2023,NC State,2,-3.3,5.3,,,
11/28/2023,Southern Illinois,7,1.7,5.3,,,
11/28/2023,Maryland,-17,-20.8,3.8,,,
11/28/2023,Portland St,-2.5,-5.8,3.3,,,
11/28/2023,Gonzaga,-28,-31.1,3.1,,,
11/27/2023,Washington St,-12,-16.2,4.2,82-72,-2,L
11/27/2023,Troy,6.5,2.8,3.7,76-77,5.5,W
11/25/2023,Texas St,7,1.4,5.6,73-66,14,W
11/25/2023,Oregon,8.5,3.4,5.1,91-99,0.5,W
11/25/2023,Saint Louis,-12.5,-17.5,5,66-65,-11.5,L
11/25/2023,Wofford,5,-0.4,4.6,82-85,2,W
11/25/2023,Florida Gulf Coast,2,-2.6,4.6,55-71,-14,L
11/25/2023,Mount St. Mary's,2.5,-1.5,4,83-87,-1.5,L
11/24/2023,Lipscomb,3.5,-2.8,6.3,86-75,14.5,W
11/24/2023,Davidson,11,5.6,5.4,55-89,-23,L
11/24/2023,Memphis,3.5,-1.2,4.7,63-79,-12.5,L
11/24/2023,Baylor,-3,-7.4,4.4,95-91,1,W
11/24/2023,Monmouth,8,3.7,4.3,93-84,17,W
11/24/2023,VCU,3.5,-0.8,4.3,61-65,-0.5,L
11/24/2023,Western Kentucky,-4.5,-8.4,3.9,72-65,2.5,W
11/23/2023,Butler,6.5,0.5,6,86-91,1.5,W
11/23/2023,Michigan,-3,-8.5,5.5,83-78,2,W
11/23/2023,VCU,12.5,7.6,4.9,64-68,8.5,W
11/23/2023,Virginia Tech,-2,-6.7,4.7,82-75,5,W
11/23/2023,Iowa,1.5,-2.8,4.3,67-79,-10.5,L
11/22/2023,Pittsburgh,5.5,-2,7,71-86,-9.5,L
11/22/2023,Notre Dame,-11.5,-17.5,6,75-55,8.5,W
11/22/2023,North Carolina,-11.5,-15.9,4.4,91-69,10.5,W
11/22/2023,Harvard,5.5,1.1,4.4,76-70,11.5,W
11/22/2023,Murray St,2.5,-1.6,4.1,57-67,-7.5,L
11/22/2023,Hofstra,-5.5,-9.5,4,97-92,-0.5,L
11/22/2023,Alabama St,14.5,10.6,3.9,67-99,-7.5,L
11/22/2023,SMU,7.5,4.1,3.4,61-69,-0.5,L
11/22/2023,Mount St. Mary's,4.5,1.2,3.3,65-68,1.5,W
11/21/2023,Southern Utah,14,8.1,5.9,53-67,0,P
11/21/2023,Campbell,-3,-8.4,5.4,55-69,-17,L
11/21/2023,Minnesota,-18,-22.4,4.4,56-67,1,W
11/21/2023,Detroit Mercy,-2.5,-6.8,4.3,72-76,-6.5,L
11/21/2023,Southern Illinois,5.5,1.3,4.2,76-82,-0.5,L
11/21/2023,UNC Wilmington,-2,-5.8,3.8,56-86,-32,L
11/21/2023,Kansas,-4.5,-7.4,2.9,59-73,-18.5,L
11/20/2023,Oakland,6.5,-0.2,6.7,74-69,11.5,W
11/20/2023,Marshall,1.5,-4.9,6.4,80-69,12.5,W
11/20/2023,Hampton,10.5,4.6,5.9,52-71,-8.5,L
11/20/2023,UCLA,7,1.4,5.6,69-71,5,W
11/20/2023,Montana St,-11,-16.1,5.1,53-54,-12,L
11/20/2023,Stetson,4.5,0.3,4.2,85-67,22.5,W
11/20/2023,Bryant,-3.5,-7,3.5,67-61,2.5,W
11/19/2023,LSU,-1,-4.4,3.4,86-80,5,W
11/19/2023,Akron,-8,-11.4,3.4,77-71,-2,L
11/19/2023,Manhattan,4.5,1.2,3.3,67-63,8.5,W
11/19/2023,Quinnipiac,-5.5,-8.7,3.2,85-82,-2.5,L
11/18/2023,North Florida,4.5,-2.8,7.3,67-58,13.5,W
11/18/2023,Winthrop,-12,-18.8,6.8,74-61,1,W
11/18/2023,Detorit Mercy,16.5,10.2,6.3,52-71,-2.5,L
11/18/2023,Harvard,6,0.4,5.6,73-64,-3,L
11/18/2023,Nevada,-13.5,-18.7,5.2,108-83,11.5,W
11/18/2023,Marist,3,-1.1,4.1,59-82,-20,L
11/18/2023,VCU,-8,-12,4,60-56,-4,L
11/18/2023,VMI,4,0.5,3.5,69-78,-5,L
11/18/2023,Mcneese St,6,2.7,3.3,74-76,4,W
11/18/2023,Jacksonville St,2.5,-0.5,3,59-61,0.5,W
11/17/2023,Florida St.,8.5,-1.4,9.9,68-89,-12.5,L
11/17/2023,William & Mary,8.5,1.3,7.2,71-80,-0.5,L
11/17/2023,Nicholls St,4.5,-2.3,6.8,51-60,-4.5,L
11/17/2023,Missouri St,1.5,-5.1,6.6,70-61,11.5,W
11/17/2023,Presbyterian,3,-2.6,5.6,66-80,-11,L
11/17/2023,Saint Louis,4.5,-0.1,4.6,68-78,-5.5,L
11/17/2023,South Alabama,-5,-9.4,4.4,82-75,2,W
11/17/2023,San Francisco,2.5,-1.7,4.2,72-76,-1.5,L
11/17/2023,LSU,-2.5,-6.3,3.8,66-62,1.5,W
11/17/2023,Michigan,-14.5,-18.2,3.7,86-94,-20.5,L
