Rank,Team,Index,Rating,WP,Sys A,A Rk,Sys B,B Rk,Sys C,C Rk,Sys D,D Rk,Sys E,E Rk,Sos,Sos Rk,,,,,,,,,,,,,,,,
1,Alabama,2.30,22.01,0.99,2.64,2,2.58,2,2.54,2,2.44,2,2.39,1,2.10,2,,,,,,,,,,,,,,,,
2,Houston,2.27,21.79,0.99,2.76,1,2.84,1,2.55,1,2.85,1,2.16,5,1.20,51,,,,,,,,,,,,,,,,
3,Connecticut,2.06,19.69,0.98,2.47,3,2.49,3,2.43,3,2.32,3,1.85,12,1.54,24,,,,,,,,,,,,,,,,
4,UCLA,2.01,19.18,0.98,2.38,4,2.39,4,2.31,4,2.23,5,1.96,7,1.50,30,,,,,,,,,,,,,,,,
5,Gonzaga,1.87,17.80,0.97,2.05,6,2.09,6,2.05,6,1.91,11,2.19,3,1.70,17,,,,,,,,,,,,,,,,
6,Tennessee,1.85,17.58,0.97,2.26,5,2.26,5,2.23,5,2.03,7,1.58,23,1.56,23,,,,,,,,,,,,,,,,
7,Texas,1.78,16.89,0.96,1.97,8,1.97,9,2.05,7,1.57,18,1.92,8,2.02,8,,,,,,,,,,,,,,,,
8,Arizona,1.76,16.76,0.96,2.02,7,1.99,8,1.98,8,1.94,10,1.86,11,1.47,31,,,,,,,,,,,,,,,,
9,Saint Mary's,1.72,16.34,0.96,1.91,9,1.99,7,1.93,9,1.60,17,2.07,6,1.74,14,,,,,,,,,,,,,,,,
10,Kansas,1.67,15.89,0.95,1.72,12,1.74,12,1.85,10,1.13,46,2.17,4,2.29,1,,,,,,,,,,,,,,,,
11,San Diego St.,1.61,15.30,0.95,1.62,15,1.65,14,1.70,15,1.14,44,2.36,2,2.08,5,,,,,,,,,,,,,,,,
12,Purdue,1.61,15.30,0.95,1.80,11,1.80,11,1.84,11,1.53,23,1.87,9,1.43,36,,,,,,,,,,,,,,,,
13,Florida Atlantic,1.58,15.00,0.94,1.86,10,1.87,10,1.78,12,2.00,8,1.77,15,0.67,88,,,,,,,,,,,,,,,,
14,Baylor,1.52,14.40,0.94,1.62,14,1.61,17,1.71,13,1.16,39,1.81,13,2.09,4,,,,,,,,,,,,,,,,
15,Duke,1.47,13.92,0.93,1.61,18,1.65,15,1.66,17,1.34,31,1.79,14,1.50,28,,,,,,,,,,,,,,,,
16,Marquette,1.46,13.75,0.93,1.62,17,1.64,16,1.67,16,1.44,25,1.63,19,1.22,50,,,,,,,,,,,,,,,,
17,Creighton,1.43,13.54,0.92,1.62,16,1.65,13,1.71,14,1.23,37,1.42,28,1.71,16,,,,,,,,,,,,,,,,
18,Memphis,1.43,13.52,0.92,1.59,19,1.56,19,1.62,19,1.38,28,1.61,20,1.45,33,,,,,,,,,,,,,,,,
19,Miami FL,1.42,13.39,0.92,1.50,24,1.46,26,1.52,21,1.33,32,1.86,10,1.43,35,,,,,,,,,,,,,,,,
20,Arkansas,1.42,13.38,0.92,1.54,21,1.49,23,1.63,18,1.04,54,1.60,21,2.09,3,,,,,,,,,,,,,,,,
21,Xavier,1.39,13.08,0.92,1.47,25,1.48,24,1.55,20,1.16,40,1.68,18,1.64,20,,,,,,,,,,,,,,,,
22,Utah St.,1.36,12.85,0.91,1.46,26,1.45,27,1.50,24,1.27,34,1.75,16,1.44,34,,,,,,,,,,,,,,,,
23,Kansas St.,1.32,12.40,0.91,1.44,28,1.38,32,1.52,22,1.05,51,1.51,25,1.58,22,,,,,,,,,,,,,,,,
24,Indiana,1.31,12.30,0.90,1.41,29,1.39,31,1.49,25,1.02,56,1.53,24,1.74,15,,,,,,,,,,,,,,,,
25,UAB,1.28,12.01,0.90,1.53,22,1.48,25,1.47,26,1.74,14,1.35,33,0.61,93,,,,,,,,,,,,,,,,
26,West Virginia,1.27,11.93,0.90,1.39,31,1.37,33,1.51,23,0.82,79,1.26,39,2.08,6,,,,,,,,,,,,,,,,
27,Auburn,1.25,11.73,0.89,1.33,39,1.32,41,1.43,28,0.81,80,1.44,26,1.91,9,,,,,,,,,,,,,,,,
28,VCU,1.25,11.70,0.89,1.38,32,1.39,30,1.37,36,1.36,30,1.69,17,0.92,73,,,,,,,,,,,,,,,,
29,Charleston,1.22,11.40,0.89,1.63,13,1.58,18,1.42,30,2.28,4,1.10,50,-0.59,262,,,,,,,,,,,,,,,,
30,Iona,1.20,11.22,0.88,1.56,20,1.50,21,1.42,32,1.98,9,1.08,52,0.00,168,,,,,,,,,,,,,,,,
31,Kentucky,1.20,11.21,0.88,1.32,41,1.34,38,1.40,33,0.96,61,1.30,36,1.46,32,,,,,,,,,,,,,,,,
32,Virginia,1.18,11.05,0.88,1.34,35,1.36,34,1.37,35,1.10,48,1.40,29,1.01,67,,,,,,,,,,,,,,,,
33,North Texas,1.18,11.04,0.88,1.33,38,1.35,36,1.33,39,1.27,35,1.59,22,0.70,86,,,,,,,,,,,,,,,,
34,TCU,1.17,10.92,0.88,1.34,37,1.35,37,1.42,29,0.99,59,1.05,59,1.35,39,,,,,,,,,,,,,,,,
35,Liberty,1.16,10.87,0.88,1.51,23,1.50,22,1.36,37,1.89,12,1.14,46,0.07,152,,,,,,,,,,,,,,,,
36,Rutgers,1.15,10.72,0.87,1.40,30,1.42,28,1.47,27,1.05,50,0.90,77,1.32,40,,,,,,,,,,,,,,,,
37,Cincinnati,1.14,10.70,0.87,1.34,36,1.36,35,1.38,34,1.16,41,1.08,55,1.15,58,,,,,,,,,,,,,,,,
38,Boise St.,1.14,10.69,0.87,1.25,45,1.26,45,1.30,42,1.01,57,1.39,32,1.20,52,,,,,,,,,,,,,,,,
39,North Carolina,1.14,10.68,0.87,1.27,43,1.24,48,1.32,41,0.96,64,1.23,42,1.51,27,,,,,,,,,,,,,,,,
40,Illinois,1.14,10.62,0.87,1.37,33,1.33,39,1.42,31,1.13,47,0.91,74,1.16,57,,,,,,,,,,,,,,,,
41,Oral Roberts,1.13,10.58,0.87,1.46,27,1.51,20,1.30,43,2.06,6,1.08,54,-0.44,230,,,,,,,,,,,,,,,,
42,Texas A&M,1.13,10.54,0.87,1.20,52,1.21,50,1.28,45,0.87,73,1.43,27,1.29,44,,,,,,,,,,,,,,,,
43,Iowa St.,1.12,10.49,0.87,1.19,53,1.25,47,1.33,40,0.54,115,1.25,40,1.89,10,,,,,,,,,,,,,,,,
44,Maryland,1.10,10.30,0.87,1.26,44,1.27,44,1.35,38,0.85,77,1.08,56,1.37,38,,,,,,,,,,,,,,,,
45,N.C. State,1.10,10.22,0.86,1.25,47,1.26,46,1.28,46,1.14,45,1.16,44,0.97,70,,,,,,,,,,,,,,,,
46,Drake,1.08,10.09,0.86,1.33,40,1.32,40,1.27,47,1.57,19,1.18,43,0.20,137,,,,,,,,,,,,,,,,
47,Michigan St.,1.08,10.06,0.86,1.06,65,1.07,62,1.19,55,0.36,136,1.40,30,2.05,7,,,,,,,,,,,,,,,,
48,Northwestern,1.08,10.04,0.86,1.16,54,1.17,53,1.25,49,0.68,95,1.28,37,1.53,25,,,,,,,,,,,,,,,,
49,Iowa,1.07,9.94,0.86,1.22,49,1.16,54,1.28,44,0.93,67,0.97,71,1.40,37,,,,,,,,,,,,,,,,
