Date,Away,Home,Predicted Favorite,Model Spread,Win Probability
11/15/2023,Campbell,Virginia Tech,Virginia Tech,-20.5,96.3%
11/15/2023,Albany,Seton Hall,Seton Hall,-22.5,97.2%
11/15/2023,Denver*,Nicholls St.*,Nicholls St.,-3.9,66.2%
11/15/2023,Coppin St.,Louisville,Louisville,-20.6,96.9%
11/15/2023,Delaware,Delaware St.,Delaware,-14.2,94.1%
11/15/2023,Richmond,Boston College,Richmond,-1.2,63.7%
11/15/2023,Canisius,Cleveland St.,Cleveland St.,-7.3,69.5%
11/15/2023,Radford,VCU,VCU,-9.5,77.1%
11/15/2023,Binghamton,Loyola MD,Loyola MD,-4.2,59.1%
11/15/2023,Central Michigan,South Florida,South Florida,-18.3,94.4%
11/15/2023,Utah Valley,Charlotte,Charlotte,-5.2,61.6%
11/15/2023,Saint Peter's,Fairleigh Dickinson,Saint Peter's,-2.8,69.5%
11/15/2023,Princeton,Duquesne,Duquesne,-1.3,46.1%
11/15/2023,USC Upstate,East Carolina,East Carolina,-13.4,87.0%
11/15/2023,Merrimack,Ohio St.,Ohio St.,-20.2,95.8%
11/15/2023,Evansville,Southeast Missouri St.,Southeast Missouri St.,-3.8,58.7%
11/15/2023,Cornell,George Mason,George Mason,-6.1,65.1%
11/15/2023,Longwood,Maryland Eastern Shore,Longwood,-9.7,88.1%
11/15/2023,Stony Brook,Nebraska,Nebraska,-13.5,86.8%
11/15/2023,Eastern Illinois,Illinois St.,Illinois St.,-13.0,88.3%
11/15/2023,FIU,Houston Christian,FIU,-8.6,86.5%
11/15/2023,Georgetown,Rutgers,Rutgers,-9.8,79.4%
11/15/2023,Southeastern Louisiana,BYU,BYU,-21.1,96.4%
11/15/2023,Rice,Texas,Texas,-19.2,95.8%
11/15/2023,Tennessee St.,Portland,Portland,-2.4,51.0%
11/15/2023,Northern Arizona,Seattle,Seattle,-13.1,87.5%
11/15/2023,LIU,UCLA,UCLA,-30.8,99.5%
11/15/2023,Pacific,Nevada,Nevada,-13.2,86.6%
11/15/2023,Morgan St.,Fresno St.,Fresno St.,-16.7,93.7%
11/14/2023,North Dakota St.*,UC Davis*,North Dakota St.,-0.2,50.70%
11/14/2023,Wisconsin,Providence,Wisconsin,-0.1,57.50%
11/14/2023,Wofford,Tennessee,Tennessee,-25.2,99.50%
11/14/2023,Bucknell,La Salle,La Salle,-9,76.80%
11/14/2023,Northeastern,Harvard,Harvard,-8,71.90%
11/14/2023,Sacred Heart,Holy Cross,Holy Cross,-0.9,44.90%
11/14/2023,Hofstra,George Washington,George Washington,-0.5,43.10%
11/14/2023,Stonehill,Saint Joseph's,Saint Joseph's,-16.2,92.00%
11/14/2023,IUPUI,Indiana St.,Indiana St.,-11.4,84.40%
11/14/2023,Lipscomb,Tennessee Tech,Tennessee Tech,-2.3,50.40%
11/14/2023,Temple,Drexel,Drexel,-1.5,47.00%
11/14/2023,Bellarmine,Chattanooga,Chattanooga,-8.2,72.80%
11/14/2023,Georgia Southern,Jacksonville,Jacksonville,-2.1,50.10%
11/14/2023,Saint Francis,Penn St.,Penn St.,-23.1,97.60%
11/14/2023,North Carolina A&T,Virginia,Virginia,-29.8,99.40%
11/14/2023,Brown,New Hampshire,Brown,-0.8,62.10%
11/14/2023,Jacksonville St.,West Virginia,West Virginia,-13.9,87.60%
11/14/2023,Mercer,Morehead St.,Morehead St.,-2.8,52.30%
11/14/2023,Mississippi Valley St.,Connecticut,Connecticut,-38.3,100.00%
11/14/2023,Eastern Michigan,Florida Atlantic,Florida Atlantic,-18.4,94.00%
11/14/2023,Toledo,Wright St.,Toledo,-4.7,75.50%
11/14/2023,Florida A&M,Florida,Florida,-22.8,97.60%
11/14/2023,High Point,Queens,Queens,-3.4,55.40%
11/14/2023,Duke*,Michigan St.*,Duke,-3.5,69.60%
11/14/2023,Colgate,Syracuse,Syracuse,-9.5,77.70%
11/14/2023,Wagner,Rhode Island,Rhode Island,-6.2,66.10%
11/14/2023,Bowling Green,Oakland,Oakland,-6.5,67.00%
11/14/2023,North Alabama,Mississippi St.,Mississippi St.,-20.8,96.30%
11/14/2023,UMass Lowell,Georgia Tech,Georgia Tech,-4.5,59.70%
11/14/2023,Boston University,Howard,Howard,-5.4,63.10%
11/14/2023,South Alabama,Alabama,Alabama,-14,90.60%
11/14/2023,Cal St. Northridge,Chicago St.,Cal St. Northridge,-1,62.30%
11/14/2023,Green Bay,Valparaiso,Valparaiso,-7.1,79.60%
11/14/2023,Colorado St.,Northern Colorado,Colorado St.,-9.7,87.50%
11/14/2023,Western Kentucky,Murray St.,Murray St.,-4.1,57.70%
11/14/2023,Detroit Mercy,Mississippi,Mississippi,-13.6,86.90%
11/14/2023,UNC Greensboro,Vanderbilt,Vanderbilt,-4.2,58.20%
11/14/2023,Alcorn St.,Arkansas St.,Arkansas St.,-8.1,74.50%
