Date,Away,Home,Predicted Favorite,Model Spread,Win Probability
11/9/2023,Pepperdine,UC Davis,UC Davis,-1.4,46.4%
11/9/2023,Northwestern St.,Tulane,Tulane,-18.7,94.9%
11/9/2023,Southern Indiana,Michigan St.,Michigan St.,-26.9,99.1%
11/9/2023,American,William & Mary,William & Mary,-4.9,61.9%
11/9/2023,James Madison,Kent St.,Kent St.,-3.9,57.0%
11/9/2023,North Florida,Charleston Southern,North Florida,0.0,58.6%
11/9/2023,East Tennessee St.,Elon,East Tennessee St.,-1.5,64.7%
11/9/2023,Fairfield,Rhode Island,Rhode Island,-5.7,64.1%
11/9/2023,South Carolina St.,South Florida,South Florida,-16.4,93.3%
11/9/2023,Army,Stonehill,Army,-1.5,64.2%
11/9/2023,Tarleton St.,FIU,FIU,-3.3,55.0%
11/9/2023,Western Kentucky,Wichita St.,Wichita St.,-7.1,69.5%
11/9/2023,Utah Valley,Sam Houston St.,Sam Houston St.,-5.0,61.0%
11/9/2023,Howard,Georgia Tech,Georgia Tech,-11.4,82.1%
11/9/2023,Mercer,Chicago St.,Mercer,-9.3,87.6%
11/9/2023,Nebraska Omaha,TCU,TCU,-26.6,98.9%
11/9/2023,Alabama A&M,North Alabama,North Alabama,-7.4,74.4%
11/9/2023,Towson,Coppin St.,Towson,-10.3,89.4%
11/9/2023,Florida A&M,Nebraska,Nebraska,-21.1,96.7%
11/9/2023,Lamar,SMU,SMU,-24.5,98.1%
11/9/2023,Lindenwood,Iowa St.,Iowa St.,-25.8,98.6%
11/9/2023,Stephen F. Austin,Middle Tennessee,Middle Tennessee,-4.8,60.2%
11/9/2023,Cal Poly,Denver,Denver,-5.6,67.5%
11/9/2023,Cal St. Bakersfield,USC,USC,-23.0,97.8%
11/9/2023,Cal St. Northridge,Idaho,Cal St. Northridge,-2.3,67.5%
11/9/2023,Portland St.,UC Santa Barbara,UC Santa Barbara,-9.8,77.7%
11/9/2023,Saint Francis,San Francisco,San Francisco,-21.3,96.7%
11/9/2023,New Mexico,Saint Mary's,Saint Mary's,-7.5,76.1%
11/9/2023,Northern Kentucky,Washington,Washington,-15.0,90.2%
11/9/2023,Arizona,Duke,Duke,-2.3,89.1%
11/8/2023,Troy,Ohio,Ohio,-10.4,78.60%
11/8/2023,Canisius,Syracuse,Syracuse,-17,91.90%
11/8/2023,Bucknell,Penn,Penn,-8.8,75.40%
11/8/2023,Western Illinois,SMU,SMU,-20.5,95.40%
11/8/2023,Florida Atlantic*,Loyola Chicago*,Florida Atlantic,-3.8,65.10%
11/8/2023,Lipscomb,Drake,Drake,-11.4,81.20%
11/8/2023,Texas A&M Commerce,Texas Tech,Texas Tech,-24,97.60%
11/8/2023,Arizona St.*,Mississippi St.*,Mississippi St.,-3.9,66.20%
11/8/2023,Prairie View A&M,Seattle,Seattle,-10.1,78.80%
11/8/2023,Utah Tech,Santa Clara,Santa Clara,-11.2,80.80%
11/8/2023,Jackson St.,San Diego,San Diego,-5.7,64.30%
11/8/2023,Southern,UNLV,UNLV,-17.2,92.10%
11/7/2023,Drexel,La Salle,Drexel,-1.4,64.00%
11/7/2023,Florida Gulf Coast,Indiana,Indiana,-15.3,90.50%
11/7/2023,Albany,Massachusetts,Massachusetts,-12.5,84.50%
11/7/2023,Stony Brook,St. John's,St. John's,-16,90.60%
11/7/2023,Mount St. Mary's,Maryland,Maryland,-21,96.20%
11/7/2023,North Dakota,Iowa,Iowa,-24.4,97.90%
11/7/2023,Presbyterian,Vanderbilt,Vanderbilt,-17.8,92.80%
11/7/2023,Northern Iowa,North Texas,North Texas,-5.8,64.10%
11/7/2023,UNC Asheville,Michigan,Michigan,-16.2,92.70%
11/7/2023,Florida A&M,Creighton,Creighton,-26.7,98.60%
11/7/2023,Purdue Fort Wayne,DePaul,DePaul,-11.2,81.20%
11/7/2023,Auburn*,Baylor*,Baylor,-3.3,65.80%
11/7/2023,Sacramento St.,Nevada,Nevada,-17.4,92.30%
11/7/2023,UC Irvine,San Jose St.,UC Irvine,-4.3,73.70%
