,Rank,Team,Conf,Record,Rating
0,1,Arizona,P12,6-0,22.7
0,2,Houston,B12,7-0,22.6
0,3,Purdue,B10,7-0,20.0
1,4,Kansas,B12,5-1,18.9
2,5,Gonzaga,WCC,4-1,18.5
-2,6,Duke,ACC,5-2,18.5
1,7,Kentucky,SEC,6-1,18.2
-2,8,Tennessee,SEC,4-3,18.0
0,9,Connecticut,BE,7-0,16.7
0,10,Baylor,B12,6-0,16.7
1,11,North Carolina,ACC,6-1,16.6
-1,12,Michigan St.,B10,4-3,16.5
0,13,Marquette,BE,6-1,16.0
0,14,BYU,B12,6-0,15.5
0,15,Alabama,SEC,5-2,15.0
0,16,Creighton,BE,5-1,14.9
1,17,TCU,B12,6-0,13.7
7,18,Auburn,SEC,5-1,13.5
0,19,Iowa,B10,5-2,13.4
0,20,UCLA,P12,3-2,13.3
0,21,Illinois,B10,5-1,13.2
7,22,Arkansas,SEC,5-3,13.1
-1,23,Memphis,Amer,5-1,13.1
-1,24,San Diego St.,MWC,5-1,13.1
-1,25,Ohio St.,B10,6-1,12.9
0,26,Texas,B12,5-1,12.6
1,27,Michigan,B10,4-3,12.6
-11,28,Villanova,BE,6-2,12.5
1,29,Wisconsin,B10,5-2,12.5
5,30,USC,P12,5-2,12.4
0,31,Iowa St.,B12,5-2,12.4
1,32,Oklahoma,B12,6-0,12.1
1,33,Oregon,P12,4-2,12.0
-7,34,Texas A&M,SEC,6-2,12.0
1,35,Miami FL,ACC,5-1,11.9
3,36,Virginia,ACC,6-1,11.8
0,37,Clemson,ACC,6-0,11.7
-6,38,Nevada,MWC,5-0,11.2
1,39,Cincinnati,B12,6-0,11.0
1,40,Maryland,B10,4-3,10.9
-3,41,Colorado,P12,5-2,10.8
0,42,Florida Atlantic,Amer,5-1,10.8
1,43,Utah,P12,4-2,10.7
1,44,Mississippi St.,SEC,6-1,10.7
1,45,Providence,BE,6-1,10.7
1,46,Xavier,BE,4-3,10.5
1,47,Rutgers,B10,5-1,10.3
-5,48,Virginia Tech,ACC,5-3,10.2
0,49,Texas Tech,B12,5-1,10.2
0,50,Saint Mary's,WCC,2-4,10.1
0,51,Colorado St.,MWC,7-0,9.9
0,52,Washington,P12,4-2,9.6
0,53,Seton Hall,BE,5-2,9.4
1,54,St. John's,BE,4-2,9.3
3,55,Dayton,A10,5-2,9.1
0,56,Indiana,B10,5-1,9.1
3,57,Liberty,CUSA,5-0,8.8
-1,58,New Mexico,MWC,6-1,8.8
2,59,Kansas St.,B12,5-2,8.8
-6,60,Florida St.,ACC,4-2,8.8
1,61,N.C. State,ACC,4-2,8.7
1,62,Pittsburgh,ACC,5-2,8.4
1,63,Butler,BE,5-2,7.9
-5,64,Florida,SEC,4-3,7.9
0,65,LSU,SEC,4-3,7.9
0,66,Syracuse,ACC,4-2,7.8
1,67,San Francisco,WCC,4-2,7.8
-1,68,SMU,Amer,4-3,7.7
0,69,Utah St.,MWC,5-1,7.5
0,70,Washington St.,P12,5-1,6.9
0,71,VCU,A10,4-3,6.8
0,72,Oklahoma St.,B12,3-3,6.7
0,73,Nebraska,B10,7-0,6.4
0,74,Penn St.,B10,4-3,6.4
3,75,Wichita St.,Amer,6-1,6.3
-1,76,Northwestern,B10,5-1,6.2
0,77,UCF,B12,4-2,6.0
1,78,Mississippi,SEC,6-0,5.6
2,79,West Virginia,B12,3-3,5.5
8,80,Wake Forest,ACC,4-3,5.5
1,81,South Carolina,SEC,6-0,5.4
3,82,North Texas,Amer,3-2,5.3
0,83,Missouri St.,MVC,6-1,5.2
-8,84,Richmond,A10,4-3,5.1
-5,85,Princeton,Ivy,7-0,5.1
0,86,Boise St.,MWC,2-3,5.1
0,87,Missouri,SEC,6-2,5.1
6,88,Arizona St.,P12,4-2,4.8
3,89,Tulane,Amer,5-1,4.8
-6,90,Grand Canyon,WAC,5-1,4.7
-1,91,Stanford,P12,3-4,4.6
5,92,Drake,MVC,5-1,4.2
-4,93,Bradley,MVC,7-1,4.2
15,94,Saint Joseph's,A10,5-2,4.1
-4,95,James Madison,SB,7-0,4.1
-1,96,Massachusetts,A10,3-1,4.0
5,97,Davidson,A10,3-3,3.9
-5,98,UC Irvine,BW,5-2,3.8
-1,99,Santa Clara,WCC,6-1,3.8
-1,100,Hofstra,CAA,3-2,3.7
-5,101,Vermont,AE,4-2,3.6
-2,102,UNC Greensboro,SC,5-1,3.6
-2,103,Ohio,MAC,4-2,3.6
-1,104,Toledo,MAC,3-3,3.5
-1,105,Kent St.,MAC,3-3,3.5
-1,106,UAB,Amer,4-3,3.3
7,107,Georgia,SEC,4-3,3.2
-1,108,St. Bonaventure,A10,4-2,3.2
-1,109,Georgia Tech,ACC,3-2,3.1
0,110,Akron,MAC,3-3,3.0
0,111,Minnesota,B10,4-2,2.9
4,112,UNLV,MWC,3-3,2.7
2,113,Louisville,ACC,4-3,2.7
-1,114,Yale,Ivy,4-3,2.7
3,115,Indiana St.,MVC,5-1,2.4
-4,116,Harvard,Ivy,5-2,2.4
2,117,Furman,SC,3-3,2.3
-1,118,George Mason,A10,6-1,2.2
1,119,Louisiana Tech,CUSA,3-2,2.1
1,120,Hawaii,BW,4-0,2.0
-15,121,UMass Lowell,AE,4-1,1.9
17,122,Colgate,Pat,4-3,1.9
9,123,Boston College,ACC,5-2,1.9
-1,124,Duquesne,A10,5-2,1.9
0,125,Saint Louis,A10,4-3,1.7
5,126,Oakland,Horz,5-3,1.3
3,127,Notre Dame,ACC,3-3,1.3
1,128,Appalachian St.,SB,4-2,1.3
12,129,Murray St.,MVC,2-3,1.2
5,130,Wright St.,Horz,3-4,1.2
-5,131,Charlotte,Amer,4-3,1.2
1,132,UC Santa Barbara,BW,3-2,1.0
-5,133,Georgetown,BE,5-2,1.0
