0,1,Houston,B12,3-0,22.2
0,2,Kansas,B12,3-0,20.9
0,3,Gonzaga,WCC,1-0,19.8
0,4,Arizona,P12,3-0,19.8
0,5,Duke,ACC,2-1,19.3
1,6,Purdue,B10,3-0,18.5
-1,7,Tennessee,SEC,3-0,18.5
0,8,Kentucky,SEC,2-1,16.5
1,9,Michigan St.,B10,1-2,16.0
4,10,Baylor,B12,3-0,15.9
0,11,North Carolina,ACC,2-0,15.3
-3,12,Connecticut,BE,3-0,15.2
0,13,Michigan,B10,3-0,15.1
10,14,Alabama,SEC,3-0,14.9
0,15,Arkansas,SEC,3-0,14.9
-4,16,Creighton,BE,3-0,14.7
0,17,Memphis,Amer,2-0,14.2
1,18,Marquette,BE,3-0,14.0
-1,19,UCLA,P12,2-0,13.9
-4,20,Iowa,B10,2-1,13.7
0,21,Oregon,P12,2-0,13.6
3,22,TCU,B12,3-0,13.4
-1,23,Texas,B12,2-0,13.4
-1,24,Illinois,B10,2-1,12.9
2,25,Texas A&M,SEC,3-0,12.7
-6,26,USC,P12,2-1,12.3
2,27,Miami FL,ACC,3-0,12.2
0,28,Virginia,ACC,3-0,12.1
1,29,Virginia Tech,ACC,1-1,12.0
1,30,San Diego St.,MWC,2-1,11.8
1,31,Saint Mary's,WCC,1-1,11.7
-6,32,Wisconsin,B10,1-2,11.7
0,33,Texas Tech,B12,2-0,11.4
0,34,Maryland,B10,1-2,11.3
0,35,Auburn,SEC,1-1,11.1
0,36,Villanova,BE,2-1,11.1
0,37,Mississippi St.,SEC,3-0,11.1
0,38,Colorado,P12,3-0,11.0
0,39,Utah,P12,2-0,10.8
0,40,Iowa St.,B12,3-0,10.7
0,41,BYU,B12,2-0,10.5
8,42,Providence,BE,3-0,10.4
-1,43,Ohio St.,B10,1-1,10.3
-1,44,Florida St.,ACC,2-0,10.3
6,45,Oklahoma,B12,3-0,10.0
-2,46,Seton Hall,BE,2-0,10.0
-2,47,Clemson,ACC,3-0,9.9
-2,48,Xavier,BE,2-1,9.9
