Changes,Rank,Team,Conf,W-L,Rating
0,1,Houston,B12,1-0,23.2
0,2,Kansas,B12,1-0,21.0
0,3,Arizona,P12,1-0,20.5
0,4,Gonzaga,WCC,0-0,20.3
0,5,Duke,ACC,1-0,19.8
0,6,Purdue,B10,1-0,19.6
0,7,Tennessee,SEC,1-0,18.9
0,8,Kentucky,SEC,1-0,18.0
2,9,Michigan St.,B10,1-1,16.3
-1,10,Arkansas,SEC,1-0,15.8
-1,11,Baylor,B12,1-0,15.4
0,12,Connecticut,BE,1-0,15.4
0,13,North Carolina,ACC,1-0,15.2
0,14,Creighton,BE,1-0,14.8
0,15,Iowa,B10,1-0,14.6
0,16,Michigan,B10,1-0,14.4
0,17,UCLA,P12,1-0,14.4
0,18,Texas,B12,1-0,13.8
0,19,Oregon,P12,1-0,13.8
0,20,Illinois,B10,1-0,13.6
9,21,Saint Mary's,WCC,1-0,13.6
1,22,Memphis,Amer,1-0,13.5
-2,23,USC,P12,2-0,13.5
0,24,Miami FL,ACC,1-0,13.3
0,25,Wisconsin,B10,1-0,13.2
0,26,Alabama,SEC,1-0,13.2
0,27,Virginia Tech,ACC,1-0,13.1
0,28,Marquette,BE,1-0,13.1
-7,29,TCU,B12,2-0,13.0
-1,30,San Diego St.,MWC,1-0,12.9
0,31,Virginia,ACC,1-0,12.8
0,32,Texas A&M,SEC,1-0,12.2
0,33,Villanova,BE,1-0,12.1
0,34,Maryland,B10,1-0,12.0
0,35,Texas Tech,B12,1-0,11.8
0,36,LSU,SEC,1-0,11.6
0,37,Auburn,SEC,0-1,11.6
0,38,Mississippi St.,SEC,1-0,10.9
0,39,Ohio St.,B10,1-0,10.7
0,40,Clemson,ACC,1-0,10.7
0,41,Indiana,B10,1-0,10.4
0,42,Utah,P12,1-0,10.1
0,43,BYU,B12,1-0,10.1
5,44,Iowa St.,B12,2-0,10.2
-1,45,Providence,BE,1-0,10.0
-1,46,Colorado,P12,1-0,10.0
0,47,Xavier,BE,1-0,9.6
2,48,Dayton,A10,1-0,9.4
2,49,Florida St.,ACC,0-0,9.1
2,50,Seton Hall,BE,1-0,9.0
2,51,N.C. State,ACC,1-0,8.9
-6,52,Washington,P12,2-0,8.7
1,53,St. John's,BE,1-0,8.5
1,54,Oklahoma,B12,1-0,8.5
2,55,West Virginia,B12,1-0,8.3
-8,56,SMU,Amer,2-0,8.1
